﻿設備ID,設備名稱,位置,品牌
RDZ-1785,一般車輛 (RDZ-1785),停放區,
RFC-5599,一般車輛 (RFC-5599),停放區,
RDM-8877,一般車輛 (RDM-8877),停放區,
